"Variable","Type","Pvalue","SMD","SMD_L","SMD_U","EffectSize","Miss_StableCN","Miss_CNtransitMCI"
"SEX","cat",0.172037293493745,NA,NA,NA,0.336,0,0
"AGE","num",0.267871732343514,-0.277170079440021,-0.695351435153333,0.14101127627329,-0.277170079440021,0,0
"EDUYR","num",0.020727928452972,-0.478357719739022,-0.898136783453693,-0.0585786560243511,-0.478357719739022,0,0
"gds","num",0.143164223109542,0.286203532088593,-0.132031415253192,0.704438479430378,0.286203532088593,0,0
"kdsq","num",0.347981928056946,-0.0693694965375554,-0.486791805657924,0.348052812582813,-0.0693694965375554,0,0
"visit_count","num",0.518630087824292,-0.103967205517225,-0.521452780361053,0.313518369326604,-0.103967205517225,0,0
"MMSE","num",0.548369544364624,0.212706191068155,-0.205142466635945,0.630554848772256,0.212706191068155,0,0
"SNSB_attention","num",0.609332368701569,0.0161531874002859,-0.401221102558693,0.433527477359265,0.0161531874002859,0,0
"SNSB_language","num",0.509191413853539,-0.0777036976182654,-0.495138938399013,0.339731543162482,-0.0777036976182654,0,0
"SNSB_visuospatial","num",0.433552963337374,0.17972806666186,-0.237984169194076,0.597440302517795,0.17972806666186,0,0
"SNSB_memory","num",0.0189848754130552,0.134209813680342,-0.283351737313574,0.551771364674258,0.134209813680342,0,0
"SNSB_frontal","num",0.683670366439979,0.0677531520659384,-0.3496668187134,0.485173122845277,0.0677531520659384,0,0
