"Biomarker","Outcome","Comparison","Slope_Ref","Slope_Comp","Slope_Diff","Slope_SE","Slope_Lower","Slope_Upper","Slope_p","Cohen_d","Wald_p","LRT_p","LRT_chi","LRT_df","ResidualSD"
"1","MMSE","CNtransitMCI vs StableCN",0.0254,0.1129,-0.0875,0.1474,0.2039,-0.379,0.55361,0.0792,0.54485839161124,0.545184923091419,0.366014207733087,1,1.105
"2","SNSB_attention","CNtransitMCI vs StableCN",0.123,-0.0232,0.1461,0.1586,0.4597,-0.1674,0.35846,0.1291,0.349254518956913,0.350901646450442,0.870193856909964,1,1.132
"3","SNSB_language","CNtransitMCI vs StableCN",0.0165,-0.0218,0.0383,0.0195,0.0769,-3e-04,0.0519,0.2283,0.0451360132173139,0.0449583561790874,4.02020096152637,1,0.168
"4","SNSB_visuospatial","CNtransitMCI vs StableCN",0.07,-0.2163,0.2864,0.0674,0.4193,0.1534,3e-05,0.8486,2.82136776207324e-05,3.03013403010851e-05,17.3988239454327,1,0.337
"5","SNSB_memory","CNtransitMCI vs StableCN",10.3745,8.122,2.2525,2.9094,7.9906,-3.4855,0.43974,0.1953,0.437979951984718,0.437388784263465,0.603123396366755,1,11.531
"6","SNSB_frontal","CNtransitMCI vs StableCN",12.221,8.0694,4.1517,3.6084,11.2716,-2.9682,0.25143,0.2684,0.25433059201792,0.184689009769855,1.75948303911264,1,15.466
"7","bmi","CNtransitMCI vs StableCN",-0.0457,-0.1743,0.1286,0.123,0.3712,-0.114,0.29715,0.2508,0.291967273243498,0.291160640537231,1.11424683485961,1,0.513
"8","whr","CNtransitMCI vs StableCN",-0.0022,-0.0077,0.0054,0.0029,0.0111,-3e-04,0.06138,0.2306,0.053705437285583,0.0534144679523736,3.7309043011237,1,0.024
"9","pbcm","CNtransitMCI vs StableCN",0.2567,0.1918,0.0649,0.1858,0.4325,-0.3028,0.72758,0.0474,0.721238772516262,0.72404067030252,0.124653990889328,1,1.368
"10","pbf","CNtransitMCI vs StableCN",-0.4094,-0.3449,-0.0644,0.2832,0.4959,-0.6247,0.82037,0.0311,0.816080798092347,0.81878817363226,0.0524885903232644,1,2.074
"11","bmr","CNtransitMCI vs StableCN",5.8263,0.2384,5.5879,3.3452,12.2254,-1.0497,0.09799,0.2016,0.0880762126415812,0.0894875767040078,2.88356723867764,1,27.72
"12","ecw_tbw","CNtransitMCI vs StableCN",-0.0094,0.0539,-0.0634,0.0451,0.0256,-0.1524,0.16158,0.2167,0.154720073895504,0.154802826787397,2.02427460961803,1,0.292
"13","tbw_ffm","CNtransitMCI vs StableCN",-0.0171,-0.0037,-0.0134,0.0226,0.0312,-0.0581,0.55371,0.0913,0.547135136942238,0.546765411563882,0.363143801686476,1,0.147
"14","PA50_total","CNtransitMCI vs StableCN",0.0122,0.001,0.0112,0.0318,0.074,-0.0516,0.72515,0.0559,0.720927133321032,0.722878593815616,0.125751271352897,1,0.2
"15","ECW_ICW_upper","CNtransitMCI vs StableCN",-8e-04,-8e-04,-1e-04,9e-04,0.0018,-0.0019,0.94705,0,0.946251755196653,0.946455824898117,0.00451021313529054,1,0.006
"16","ECW_ICW_lower","CNtransitMCI vs StableCN",6e-04,0.0027,-0.0021,0.0015,9e-04,-0.0051,0.17112,0.2238,0.164657204803557,0.164625461371843,1.93121607682133,1,0.009
"17","Water_Lean_upper","CNtransitMCI vs StableCN",-2e-04,-1e-04,-1e-04,2e-04,3e-04,-5e-04,0.57512,0.0753,0.567120818254916,0.567610112989019,0.326697682576196,1,0.001
"18","Water_Lean_lower","CNtransitMCI vs StableCN",0,3e-04,-3e-04,2e-04,0,-6e-04,0.04556,0.2876,0.042028688775537,0.041383849285719,4.1602273328399,1,0.001
"19","R_upper","CNtransitMCI vs StableCN",0.0847,1.8955,-1.8108,1.5017,1.1628,-4.7843,0.23028,0.1556,0.218634822117805,0.231354377080561,1.43251530861653,1,11.635
"20","R_lower","CNtransitMCI vs StableCN",-0.4667,-2.8892,2.4225,1.7332,5.8491,-1.0041,0.16441,0.1975,0.156261803628172,0.154826092565873,2.02404632804701,1,12.268
"21","Xc_upper","CNtransitMCI vs StableCN",0.1952,0.3031,-0.1079,0.2925,0.4697,-0.6855,0.71269,0.0581,0.708373160418963,0.710050852442577,0.138226163610398,1,1.858
"22","Xc_lower","CNtransitMCI vs StableCN",0.0014,-0.4615,0.4628,0.2636,0.9834,-0.0577,0.08102,0.2772,0.0763246701500855,0.0756194098654408,3.15662408914022,1,1.67
"23","PA_upper","CNtransitMCI vs StableCN",0.0316,0.0229,0.0087,0.0411,0.0899,-0.0725,0.83214,0.0354,0.829817281127721,0.83010659038281,0.0460380808436867,1,0.246
"24","PA_lower","CNtransitMCI vs StableCN",0.0052,-0.0484,0.0536,0.043,0.1386,-0.0313,0.21377,0.181,0.205197721974588,0.205248126635931,1.60463125944716,1,0.296
