"Biomarker","AIC","BIC","Marginal_R2","Conditional_R2","RandomInterceptVar","RandomSlopeVar","ConvergenceWarning","SingularFit"
"MMSE",1818.33073742979,1864.62522771685,0.115260146364643,0.575145430146841,NA,NA,NA,NA
"SNSB_attention",1929.56706737452,1975.86155766158,0.244748889320646,0.718425312263575,NA,NA,NA,NA
"SNSB_language",-75.6239854158989,-29.3294951288359,0.331075824433504,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_visuospatial",658.25329121801,704.547781505073,0.267706658020151,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_memory",4210.95645333829,4257.25094362536,0.600497847798807,NA,NA,NA,NA,NA
"SNSB_frontal",4465.08347932828,4511.37796961534,0.532014152863935,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"bmi",1878.25801181942,1924.55250210648,0.0165335798268864,0.96609300641522,NA,NA,NA,NA
"whr",-1747.75321256376,-1701.4587222767,0.246046201801951,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"pbcm",2375.1862547581,2421.48074504516,0.450563636095478,0.930500110708403,NA,NA,NA,NA
"pbf",2800.44561946171,2846.74010974877,0.423269158961788,0.930309442690842,NA,NA,NA,NA
"bmr",5408.68306549916,5454.97755578622,0.703287074680106,0.97129843901776,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"ecw_tbw",752.764633338544,799.059123625607,0.161317351334131,0.822803741183467,NA,NA,NA,NA
"tbw_ffm",-47.1916846359907,-0.897194348927812,0.134029397019178,0.729080212514102,NA,NA,NA,NA
"PA50_total",467.411570644508,513.706060931571,0.317249203647956,0.895423324096756,NA,NA,NA,NA
"ECW_ICW_upper",-3234.89332928421,-3188.59883899714,0.105108349765933,NA,NA,NA,NA,NA
"ECW_ICW_lower",-2624.71609167753,-2578.42160139047,0.439590508771446,NA,NA,NA,NA,NA
"Water_Lean_upper",-4966.02575230137,-4919.73126201431,0.0526531882559057,NA,NA,NA,NA,NA
"Water_Lean_lower",-4889.33104120288,-4843.03655091582,0.412552119452281,NA,NA,NA,NA,NA
"R_upper",4458.26744371684,4504.5619340039,0.60307188877964,0.941196244999651,NA,NA,NA,NA
"R_lower",4445.65091955201,4491.94540983908,0.299059084623736,0.850294723168346,NA,NA,NA,NA
"Xc_upper",2504.75507357053,2551.0495638576,0.166233982822377,0.75362471276973,NA,NA,NA,NA
"Xc_lower",2470.88501245533,2517.1795027424,0.0873670357398739,0.791031126122493,NA,NA,NA,NA
"PA_upper",580.638662409235,626.933152696298,0.308387755132006,0.84500533380787,NA,NA,NA,NA
"PA_lower",794.746416145689,841.040906432752,0.214480186360612,0.860011287433402,NA,NA,NA,NA
