"","""StableCN""","""CNtransitMCI"""
"""n""","194","25"
"""SEX = Male (%)""","83 (42.8)","15 (60.0)"
"""AGE (mean (SD))""","71.16 (4.46)","72.64 (4.80)"
"""EDUYR (mean (SD))""","12.19 (4.42)","14.24 (3.76)"
"""gds (mean (SD))""","7.79 (6.69)","5.68 (6.29)"
"""kdsq (mean (SD))""","2.27 (2.27)","2.24 (1.74)"
"""visit_count (mean (SD))""","2.24 (0.51)","2.28 (0.54)"
"""MMSE (mean (SD))""","27.94 (1.61)","27.56 (2.04)"
"""SNSB_attention (mean (SD))""","9.82 (2.13)","9.68 (2.43)"
"""SNSB_language (mean (SD))""","0.21 (0.29)","0.24 (0.30)"
"""SNSB_visuospatial (mean (SD))""","0.55 (0.34)","0.49 (0.45)"
"""SNSB_memory (mean (SD))""","0.72 (4.79)","0.15 (0.51)"
"""SNSB_frontal (mean (SD))""","0.72 (5.58)","0.41 (0.45)"
