"Variable","Type","Pvalue","SMD","SMD_L","SMD_U","EffectSize","Miss_StableCN","Miss_CNtransitMCI"
"SEX","cat",0.156852235115051,NA,NA,NA,0.346,0,0
"AGE","num",0.192017078863509,-0.327663958450964,-0.74616681533197,0.0908388984300431,-0.327663958450964,0,0
"EDUYR","num",0.0229815277870181,-0.468514168035083,-0.888195437788021,-0.048832898282145,-0.468514168035083,0,0
"gds","num",0.0739834675838068,0.316299651121818,-0.102126189041334,0.734725491284971,0.316299651121818,0,0
"kdsq","num",0.631985495175768,0.0125924331966536,-0.404780776752447,0.429965643145754,0.0125924331966536,0,0
"visit_count","num",0.727954789141272,-0.0735903495450524,-0.491019024780815,0.34383832569071,-0.0735903495450524,0,0
"MMSE","num",0.515673756660555,0.225981595506509,-0.191928437207223,0.643891628220241,0.225981595506509,0,0
"SNSB_attention","num",0.415027476537011,0.06422006935501,-0.353194982069684,0.481635120779704,0.06422006935501,0,0
"SNSB_language","num",0.593267998944464,-0.0799950210196383,-0.497434073885917,0.33744403184664,-0.0799950210196383,0,0
"SNSB_visuospatial","num",0.450043959782733,0.179111457148228,-0.238598445928245,0.596821360224702,0.179111457148228,0,0
"SNSB_memory","num",0.0447372661889229,0.126158710055972,-0.291380731685051,0.543698151796996,0.126158710055972,0,0
"SNSB_frontal","num",0.492835008756381,0.0590424704668632,-0.358365847562916,0.476450788496642,0.0590424704668632,0,0
