"Variable","Unit","N_StableCN","N_CNtransitMCI","StableCN_AdjMean_CI","CNtransitMCI_AdjMean_CI","Diff_CI","SE","PValue","EtaSq","Adj_R2","Miss_StableCN","Miss_CNtransitMCI"
"height","cm",194,25,"160.17 (159.45, 160.90)","162.29 (160.26, 164.32)","-2.12 (-4.28, 0.05)",1.1,0.055,0.026,0.594,0,0
"weight","kg",194,25,"62.81 (61.72, 63.89)","63.06 (60.02, 66.10)","-0.26 (-3.49, 2.98)",1.64,0.8756,0.005,0.297,0,0
"Waistcir","cm",194,25,"83.08 (81.85, 84.31)","79.36 (75.90, 82.82)","3.72 (0.04, 7.40)",1.87,0.0478,0.004,0.159,0,0
"Hipcir","cm",194,25,"93.77 (93.00, 94.54)","92.45 (90.29, 94.60)","1.32 (-0.97, 3.61)",1.16,0.2561,0.002,0.043,0,0
"bmi","kg/m2",194,25,"24.55 (24.18, 24.91)","23.93 (22.90, 24.96)","0.62 (-0.48, 1.72)",0.56,0.2662,0.005,-0.008,0,0
"ac","",194,25,"30.07 (29.76, 30.38)","29.93 (29.06, 30.81)","0.14 (-0.79, 1.07)",0.47,0.7693,0,0.076,0,0
"whr","",194,25,"0.88 (0.87, 0.89)","0.89 (0.87, 0.91)","-0.01 (-0.03, 0.01)",0.01,0.4085,0.001,0.007,0,0
"pbcm","%",194,25,"43.55 (43.02, 44.08)","44.60 (43.12, 46.09)","-1.06 (-2.64, 0.52)",0.8,0.1886,0.02,0.448,0,0
"pbf","%",194,25,"32.27 (31.46, 33.09)","30.72 (28.43, 33.02)","1.55 (-0.89, 3.99)",1.24,0.2119,0.019,0.421,0,0
"bmr","kcal",194,25,"1288.34 (1275.71, 1300.98)","1313.36 (1277.94, 1348.78)","-25.02 (-62.71, 12.68)",19.12,0.1922,0.02,0.714,0,0
"tbw_ffm","%",194,25,"73.86 (73.83, 73.89)","73.86 (73.76, 73.96)","0.00 (-0.10, 0.10)",0.05,0.9957,0.003,0.196,0,0
"ecw_tbw","%",194,25,"39.24 (39.15, 39.33)","39.15 (38.90, 39.41)","0.09 (-0.18, 0.36)",0.14,0.513,0.003,0.133,0,0
"PA50_total","degree",194,25,"5.13 (5.05, 5.20)","5.21 (5.00, 5.42)","-0.08 (-0.30, 0.14)",0.11,0.4608,0.008,0.293,0,0
