"Biomarker","Outcome","Comparison","Slope_Ref","Slope_Comp","Slope_Diff","Slope_SE","Slope_Lower","Slope_Upper","Slope_p","Cohen_d","Wald_p","LRT_p","LRT_chi","LRT_df","ResidualSD"
"1","MMSE","CNtransitMCI vs StableCN",0.0266,0.1642,-0.1376,0.1492,0.1575,-0.4328,0.35806,0.1246,0.347259382213823,0.346167056512275,0.887458147643429,1,1.104
"2","SNSB_attention","CNtransitMCI vs StableCN",0.1287,-0.0604,0.1891,0.1634,0.5121,-0.1339,0.24912,0.1666,0.2394628565433,0.2395242270337,1.38339190165425,1,1.135
"3","SNSB_language","CNtransitMCI vs StableCN",0.0172,-0.0037,0.0209,0.0197,0.0599,-0.0181,0.291,0.1279,0.277436271968434,0.276966828628207,1.18191330513133,1,0.163
"4","SNSB_visuospatial","CNtransitMCI vs StableCN",0.075,-0.1977,0.2726,0.0698,0.4103,0.135,0.00013,0.8114,0.000109775124017271,0.000117788444578238,14.8277665164401,1,0.336
"5","SNSB_memory","CNtransitMCI vs StableCN",10.711,8.9545,1.7564,3.0164,7.7034,-4.1905,0.56101,0.1599,0.559316306042486,0.533241743246044,0.388210117979725,1,10.986
"6","SNSB_frontal","CNtransitMCI vs StableCN",12.5876,9.5908,2.9968,3.7472,10.3843,-4.3907,0.42477,0.203,0.419562802141158,0.419034558496595,0.653021283624184,1,14.76
"7","bmi","CNtransitMCI vs StableCN",-0.0677,-0.1564,0.0887,0.0995,0.285,-0.1077,0.37392,0.1537,0.366330351985696,0.365196592897843,0.819943817112517,1,0.577
"8","whr","CNtransitMCI vs StableCN",-0.0025,-0.0098,0.0074,0.0031,0.0134,0.0013,0.01718,0.2975,0.0136249748365534,0.0137765679200169,6.06655150751885,1,0.025
"9","pbcm","CNtransitMCI vs StableCN",0.3001,0.2994,7e-04,0.1888,0.3745,-0.3731,0.99701,5e-04,0.996925109213062,0.996948119657888,1.463042690375e-05,1,1.406
"10","pbf","CNtransitMCI vs StableCN",-0.4678,-0.5151,0.0472,0.2875,0.6161,-0.5216,0.86971,0.0223,0.866169621425242,0.867969940790992,0.0276349522373494,1,2.125
"11","bmr","CNtransitMCI vs StableCN",6.4468,2.5824,3.8644,3.5248,10.8416,-3.1128,0.27507,0.1388,0.250016772123911,0.341344122136337,0.905376615264686,1,27.849
"12","icw","CNtransitMCI vs StableCN",0.135,0.0447,0.0903,0.0753,0.2396,-0.0589,0.23293,0.1513,0.219152269119662,0.235269065890888,1.40871958403727,1,0.597
"13","ecw","CNtransitMCI vs StableCN",0.0785,0.0748,0.0037,0.0466,0.0959,-0.0885,0.93693,0.0114,0.935514285134392,0.936810476540724,0.00628520623968143,1,0.325
"14","tbw","CNtransitMCI vs StableCN",0.213,0.1139,0.0991,0.1183,0.3334,-0.1351,0.40378,0.1098,0.390776767997258,0.407573447476429,0.685867840959872,1,0.903
"15","protein","CNtransitMCI vs StableCN",0.0636,-0.0019,0.0655,0.0337,0.1323,-0.0013,0.05455,0.2453,0.048062630849119,0.0534810618454932,3.72882316539017,1,0.267
"16","smm","CNtransitMCI vs StableCN",0.1772,0.0591,0.118,0.0983,0.3128,-0.0767,0.23217,0.1525,0.218642693658983,0.233709036443241,1.41814458725435,1,0.775
"17","amc","CNtransitMCI vs StableCN",0.0139,-0.0983,0.1122,0.0549,0.221,0.0033,0.04359,0.2555,0.0377899870657841,0.0366509066163246,4.36656017880705,1,0.439
"18","ECW_TBW_upper","CNtransitMCI vs StableCN",-4e-04,-2e-04,-2e-04,4e-04,5e-04,-9e-04,0.64205,0.0936,0.637376005115523,0.637224245929693,0.222390813035418,1,0.002
"19","ECW_TBW_lower","CNtransitMCI vs StableCN",0,8e-04,-8e-04,6e-04,3e-04,-0.0019,0.16778,0.2281,0.160830062980136,0.159912446011142,1.97505383626276,1,0.004
"20","R_upper","CNtransitMCI vs StableCN",0.4609,1.9447,-1.4837,1.4916,1.4718,-4.4393,0.32203,0.1258,0.307594004746272,0.326117377477121,0.964254120469377,1,11.799
"21","R_lower","CNtransitMCI vs StableCN",-0.3107,-3.0646,2.7539,1.7767,6.2678,-0.7601,0.12349,0.2131,0.11524410665849,0.114510793218482,2.49083724871434,1,12.923
"22","Xc_upper","CNtransitMCI vs StableCN",0.2211,0.1985,0.0226,0.2947,0.6041,-0.5589,0.93897,0.0131,0.938098024583469,0.9380936546559,0.00603202430920646,1,1.729
"23","Xc_lower","CNtransitMCI vs StableCN",0.061,-0.4342,0.4952,0.2651,1.0186,-0.0282,0.06353,0.2941,0.0592758652375677,0.0583173839346914,3.58460201928528,1,1.684
"24","PA_upper","CNtransitMCI vs StableCN",0.0323,0.0078,0.0245,0.041,0.1055,-0.0564,0.55067,0.1055,0.545346078623902,0.545160078942736,0.366059451664341,1,0.232
"25","PA_lower","CNtransitMCI vs StableCN",0.0169,-0.0326,0.0495,0.043,0.1346,-0.0355,0.25158,0.1643,0.241630305406099,0.240787957565977,1.37597491364761,1,0.301
"26","SW_upper","CNtransitMCI vs StableCN",0.0102,-0.0112,0.0214,0.0092,0.0397,0.0031,0.02256,0.2989,0.0194112039895355,0.0217959666462174,5.26199931187705,1,0.072
"27","SW_lower","CNtransitMCI vs StableCN",0.0183,0.045,-0.0267,0.0262,0.0251,-0.0785,0.31021,0.1557,0.301102252315396,0.301437132267955,1.06782549379062,1,0.171
"28","SL_upper","CNtransitMCI vs StableCN",0.0137,-0.014,0.0277,0.0118,0.0511,0.0044,0.02042,0.302,0.0174959911752808,0.0196536994159134,5.44239529990978,1,0.092
"29","SL_lower","CNtransitMCI vs StableCN",0.0236,0.0544,-0.0307,0.033,0.0344,-0.0959,0.35277,0.1416,0.343521651675505,0.344074653785147,0.895190288572962,1,0.218
"30","R5_upper","CNtransitMCI vs StableCN",0.5221,1.992,-1.4699,1.716,1.9306,-4.8703,0.39354,0.1079,0.379223923943466,0.399517141585861,0.709779140673163,1,13.621
"31","R5_lower","CNtransitMCI vs StableCN",-0.1551,-3.9453,3.7902,2.1241,7.9891,-0.4087,0.0765,0.2537,0.0706193576330601,0.0697451689909876,3.2890075100031,1,14.942
"32","Xc5_upper","CNtransitMCI vs StableCN",0.0403,-0.0064,0.0467,0.1571,0.3578,-0.2643,0.76676,0.0393,0.760851845217711,0.762310604242672,0.0914747641297708,1,1.188
"33","Xc5_lower","CNtransitMCI vs StableCN",0.0378,-0.3118,0.3496,0.1706,0.6866,0.0125,0.04216,0.2953,0.0383935940341715,0.0379902608209197,4.30545816432732,1,1.184
"34","z1_upper","CNtransitMCI vs StableCN",0.5007,2.0236,-1.523,1.7359,1.9182,-4.9642,0.38226,0.1088,0.365288706873652,0.387691511360721,0.746170112723121,1,13.999
"35","z1_lower","CNtransitMCI vs StableCN",-0.1407,-4.1815,4.0408,2.1943,8.3785,-0.2968,0.06763,0.2611,0.062151902179066,0.0613597557350187,3.50024487460541,1,15.474
"36","z5_upper","CNtransitMCI vs StableCN",0.5221,1.992,-1.4699,1.716,1.9306,-4.8703,0.39354,0.1079,0.379223923943466,0.399517141585861,0.709779140673163,1,13.621
"37","z5_lower","CNtransitMCI vs StableCN",-0.1551,-3.9453,3.7902,2.1241,7.9891,-0.4087,0.0765,0.2537,0.0706193576330601,0.0697451689909876,3.2890075100031,1,14.942
